CAS_No,EC_No,Substance_Name,MLC132_Entry,MLC132_Status_by_ROW,MLC132_Details,Policy Specific Requirements,Consider_Specific_Details
115245-09-5,,"2,3,4,5-Tetrabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
115245-10-8,,"2,3,4,6-Tetrabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
144978-86-9,,"2,3',4-Tribromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
27858-07-7,248-696-7,octabromo biphenyl,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
1163-19-5,214-604-9,Bis(pentabromophenyl) ether; Decabrominated diphenyl ether; Decabromodiphenyl ether commercial mixture (DecaBDE),Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
1201677-32-8,,Bis(pentabromophenyl) ether; Decabrominated diphenyl ether; Decabromodiphenyl ether (DecaBDE),Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
13654-09-6,237-137-2,decabromobiphenyl,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
59536-65-1,,Polybrominated biphenyls,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
40088-45-7,,Tetrabromobiphenyl,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
2113-57-7,218-304-9,3-bromobiphenyl,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
92-66-0,202-176-6,4-bromobiphenyl,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
92-86-4,202-198-6,Dibromobiphenyl,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
59080-40-9,,Hexabromobiphenyl,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
36355-01-8,252-994-2,"Hexabromobiphenyl-1,1’-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
